Type,Group,Sub-Group,Number,Name,Keywords,Description
Liabilities,Current liability,,,Current Liabilities,,
Liabilities,Current liability,General Payables,,General Payables,,
Liabilities,Current liability,General Payables,2001,Accounts Payable,,"Code amounts owed to vendors for purchases made on credit. Such purchases are made to acquire the supplies, services, and materials needed for the practice of veterinary medicine. This account is a control account for a subsidiary ledger of each vendor, the amounts owed to that vendor, and aged amount of the payable (showing whether the payable amounts are current, or represent credit purchases that occurred 30, 60, 90, or more days in the past)."
Liabilities,Current liability,General Payables,2002,Credit Cards Payable,,This account represents all purchases made through the use of a credit card.
Liabilities,Current liability,General Payables,2003,Line of Credit,,The balance in this account represents total amount outstanding on the line of credit at any one time.
Liabilities,Current liability,General Payables,2004,"Long-Term Loans & Capital Leases Payable, Current Portion",,Practice debt contracted for payment over a period greater than one year is posted to two accounts. Record the loan principal portion due in less than twelve months to this account. Account for the principal portions of loans due in greater than twelve months in the 3800 series. Adjustments to long- and short-term portions are typically made at the end of the accounting period.
Liabilities,Current liability,General Payables,2005,"Loan Payable, Current Portion -- Related Party",,"An officer or owner may loan money to the practice from time to time. This account represents the amount owed to the related party that will be repaid within one year. If the loan will extend beyond twelve months, then the loan should be accounted for as to the long-term and short-term portions."
Liabilities,Current liability,General Payables,2006,Unearned Revenue,,"This account represents a liability account to record payments received in advance of providing goods or services. A typical example of unearned revenue in a practice would be related to wellness plans where payments are received by a hospital before goods or services are provided. As goods and services are provided, the bookkeeper should debit this account and credit the appropriate revenue category."
Liabilities,Current liability,General Payables,2007,Other Accrued Liabilities,,
Liabilities,Current liability,General Payables,2008,Rent Payable,,"This account contains any rent that has been incurred/expensed, but not yet paid, and is due within 30 days"
Liabilities,,,,Employee Payroll Liabilities,,
Liabilities ,Current liability,Employee Payroll Liabilities,2101,Payroll Tax Payable,,"Include in this account employer FICA tax which consists of Medicare and OASDI (Old Age, Survivors, and Disability Insurance). The employer’s FICA obligation is recorded here, as the amount that must be remitted to the IRS coincident with the remittance of FICA payroll tax withholding from employee wages for a recently paid payroll. Include in this account federal unemployment tax payable which includes the balance of federal unemployment tax accrued on previously paid wages but not yet paid to the IRS. Include in this account state unemployment tax payable which reflects state unemployment tax accrued on previously paid wages but not yet paid to the state agency."
Liabilities ,Current liability,Employee Payroll Liabilities,2102,Wage Garnishment Payable,,"This account carries the balance of any garnished wage expense that was not paid to the employee, but rather held for payment to a third party as required by a government entity and/or court of law."
Liabilities ,Current liability,Employee Payroll Liabilities,2103,Workers Compensation Payable,,"This account reflects workers compensation premiums payable but not yet remitted to the insurer. Workers compensation premium cost is considered a tax (rather than insurance) by many accountants, as it is not a voluntary payment but a legally mandated one when an employer has employees."
Liabilities ,Current liability,Employee Payroll Liabilities,2104,Accrued Payroll & Bonuses,,"The value of employee work time that has occurred but the practice will not pay until the next payroll date is said to be accrued. The practice incurs a liability to pay the employee for his or her time, but the pay period has not yet completely run, so is not due for payment. For accrual-based practices, this account generally carries a balance at the fiscal year end, when workers have wages due to them for hours worked, that the practice will not pay until the pay date falling in the first or second week of the following year. The value of any holiday, personal, or sick time earned by employees and not yet paid is carried in this account. Cash basis practices will generally not use this account."
Liabilities ,Current liability,Employee Payroll Liabilities,2105,Accrued Payroll Taxes,,"This account carries the outstanding balance of employer payroll tax obligations associated with accrued wages and accrued paid time off (account 3150). It generally includes only the employer’s portion of FICA tax, federal unemployment tax, and state unemployment tax associated with accrued wages and salary obligations. Like accrued payroll, generally only accrual based accounting method companies use this account."
Liabilities ,Current liability,Employee Payroll Liabilities,2106,Employer Retirement Plan Contribution Payable,,"This account carries the balance of previously committed, but not yet paid, contributions to the employer-sponsored retirement plan in accord with the plan document’s requirements. Many plans allow the employer to take a deduction for the committed amount in the year to which it pertains, whether paid or not, and regardless of whether the practice is cash or accrual based for tax purposes. The practice generally has until the extended due date of the federal tax return to pay the funding obligation."
Liabilities ,,,,Employee Benefit Liabilities,,
Liabilities ,Current liability,Employee Benefit Liabilities,2201,Employee Payroll Tax Withholding Payable,,This account carries the balance of federal income tax withheld from employee wages that has not yet been paid to the IRS. The federal income taxes withheld and remitted by the employer on the employee’s behalf do not belong to the employer. The employer functions as an agent of the government to assure the timely remittance of employee tax payments through forced withholding by the employer.
Liabilities ,Current liability,Employee Benefit Liabilities,2202,Employee Withholding Payable,,"From time to time, some employees will experience court-ordered wage withholdings that are designated for use by some agency. In accord with the court order, the practice withholds the required amount and forwards it to the requisite agency on the employee’s behalf. The balance carried in this account represents all withholdings not yet remitted to the agencies."
Liabilities ,Current liability,Employee Benefit Liabilities,2203,"Employee Benefit Plan Deferrals (401(k), etc) Payable",,
Liabilities ,,,,Other Tax Liabilities,,
Liabilities ,Current liability,Other Tax Liabilities,2301,"Sales & Use Tax Payable, Current Portion",,"Many states require businesses to collect sales tax from consumers when they make purchases. When the practice collects sales tax from its clients at point of sale, the tax amount is credited to this account until the time the practice remits all collected tax amounts to the state. The requirements are comparable to payroll tax withholding rules: the state requires the practice to function as its agent, by collecting the appropriate amount of tax on subject sales and remitting it to the state revenue department."
Liabilities ,Current liability,Other Tax Liabilities,2302,Accrued Property Tax -- Current Portion,,"If the practice owns real estate or is obligated through the lease agreement to pay taxes on the real estate, post the amount due and not yet paid to this account. Some states tax the value of personal property, either tangible property or intangible property or both. Accrual-based practices use this account to record the amount due and not yet paid."
Liabilities ,Current liability,Other Tax Liabilities,2303,Corporate Income Tax Payable -- Current Portion,,"Both cash-basis and accrual-basis corporations use this account to record the amount of federal income tax owed for the most recently completed tax year. In general, the account only pertains to Subchapter C Corporations and Personal Service Corporations. All other legal entity types allow taxable practice income to pass through to individual owners for reporting on their personal tax returns. This account records any practice-owed income tax at the state, city, local or regional level that has not yet been paid."
Liabilities ,Current liability,Other Tax Liabilities,2304,"Franchise Tax Payable, Current Portion",,"Some states and many local jursidictions require businesses to pay a total revenues-based tax, typically calculated and remitted annually."
Liabilities ,Current liability,Other Tax Liabilities,2305,Other Taxes Payable,,
Liabilities ,Long-Term Liabilities,,,Long-Term Liabilities,,
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2501,"Loans & Capital Leases Payable, Long-Term Portion",,"Record the principal portion of loans scheduled for repayment over a period greater than one year. Such loans will have terms that include a stated principal amount, monthly payment amount, and a stated interest rate. The current portion of the debt, the principal portion that will be repaid within a calendar or fiscal year, will be reported in account 3030. Most common long-term debt examples include mortgages and equipment loans with repayment schedules spanning multiple years. Also known as a purchase lease, a capital lease provides for transferred title of ownership to the lessee at the end of the lease term, usually for some bargain price such as one dollar. This account maintains the principal balance that is due in greater than twelve months from the balance sheet report date. The current portion of a capital lease is reported in account 3030."
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2502,Loan Payable -- Related Party,,"Record the principal portion of loans from related parties scheduled for repayment over a period greater than one year. Such loans will have terms that include a stated principal amount, monthly payment amount, and a stated interest rate. The current portion of the debt, the principal portion that will be repaid within a calendar or fiscal year, will be reported in account 3030. Most common long-term debt examples include mortgages and equipment loans with repayment schedules spanning multiple years. Also known as a purchase lease, a capital lease provides for transferred title of ownership to the lessee at the end of the lease term, usually for some bargain price such as one dollar. This account maintains the principal balance that is due in greater than twelve months from the balance sheet report date. The current portion of a capital lease is reported in account 3030."
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2503,"Sales & Use Tax Payable, Long-Term Portion",,"Many states require businesses to collect sales tax from consumers when they make purchases. When the practice collects sales tax from its clients at point of sale, the tax amount is credited to this account until the time the practice remits all collected tax amounts to the state. The requirements are comparable to payroll tax withholding rules: the state requires the practice to function as its agent, by collecting the appropriate amount of tax on subject sales and remitting it to the state revenue department."
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2504,Accrued Property Tax -- Long-Term Portion,,"If the practice owns real estate or is obligated through the lease agreement to pay taxes on the real estate, post the amount due and not yet paid to this account. Some states tax the value of personal property, either tangible property or intangible property or both. Accrual-based practices use this account to record the amount due and not yet paid."
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2505,Corporate Income Tax Payable -- Long-Term Portion,,"Both cash-basis and accrual-basis corporations use this account to record the amount of federal income tax owed for the most recently completed tax year. In general, the account only pertains to Subchapter C Corporations and Personal Service Corporations. All other legal entity types allow taxable practice income to pass through to individual owners for reporting on their personal tax returns. This account records any practice-owed income tax at the state, city, local or regional level that has not yet been paid."
Liabilities ,Long-Term Liabilities,Long-Term Liabilities,2506,"Franchise Tax Payable, Long-Term Portion",,
Equity,Equity,,,EQUITY,,
Equity,Equity,Equity,,C-Corp,,
Equity,Equity,Equity,3001,Common Stock (C-Corp),,"This account title pertains to practices functioning in any of the corporate formats. The account balance reflects the value of issued and outstanding shares of corporate stock, usually at their original stated value. This is an account that infrequently changes, so it is likely any adjustments will come from the practice’s accountant as a result of significant transaction events related to practice ownership. Often, the only transaction shown in the account occurs at the inception of the corporation when it issues shares to the first shareholders."
Equity,Equity,Equity,3002,Additional Paid in Capital  (C-Corp),,"Record any capital paid by shareholders to the corporation in excess of the stated share value. Generally, this account is used very infrequently, often only at the corporation’s inception when it issues stock to the new shareholders in exchange for money and property. Any value in excess of the stated share value, which can be found in the original articles of incorporation, is recorded as additional paid in capital (commonly abbreviated APIC)."
Equity,Equity,Equity,3003,Retained Earnings / (Deficit)  (C-Corp),,"This account reflects a practice’s accumulated profits and losses over time, which have not been distributed to owners. The account is presented separately from the Common Stock and Additional Paid in Capital accounts because it derives its balances from operational results, not from financing."
Equity,Equity,Equity,3004,Distributions/Dividends/Draws  (C-Corp),"personal expenses, political contributions","Any dividends (Subchapter C or a personal service corporation (PSC)) or distributions (Subchapter S Corporation) are recorded here during the fiscal year. At the beginning of the subsequent fiscal year, all dividends and distributions are closed by an account adjustment to Retained Earnings/(Deficit), account 4200. Withdrawals by members of an unincorporated entity will be booked to this account, also. Modify the account title to reflect the entity type: Owner Draws, Partner Draws, or Member Draws."
Equity,Equity,Equity,3005,Treasury Stock  (C-Corp),,"Treasury stock is the amount of previously issued stock subsequently redeemed and held by the corporation. This situation usually occurs when a shareholder retires from the practice and sells his shares back to the corporation rather than to another individual. When the corporation purchases its own shares from the departing shareholder, the shares are said to be in the treasury."
Equity,Equity,Equity,,S-Corp,,
Equity,Equity,Equity,3101,Common Stock  (S-Corp),,"This account title pertains to practices functioning in any of the corporate formats. The account balance reflects the value of issued and outstanding shares of corporate stock, usually at their original stated value. This is an account that infrequently changes, so it is likely any adjustments will come from the practice’s accountant as a result of significant transaction events related to practice ownership. Often, the only transaction shown in the account occurs at the inception of the corporation when it issues shares to the first shareholders."
Equity,Equity,Equity,3102,Additional Paid in Capital  (S-Corp),,"Record any capital paid by shareholders to the corporation in excess of the stated share value. Generally, this account is used very infrequently, often only at the corporation’s inception when it issues stock to the new shareholders in exchange for money and property. Any value in excess of the stated share value, which can be found in the original articles of incorporation, is recorded as additional paid in capital (commonly abbreviated APIC)."
Equity,Equity,Equity,3103,Retained Earnings / (Deficit)  (S-Corp),,"This account reflects a practice’s accumulated profits and losses over time, which have not been distributed to owners. The account is presented separately from the Common Stock and Additional Paid in Capital accounts because it derives its balances from operational results, not from financing."
Equity,Equity,Equity,3104,Distributions/Dividends/Draws  (S-Corp),"personal expenses, political contributions","Any dividends (Subchapter C or a personal service corporation (PSC)) or distributions (Subchapter S Corporation) are recorded here during the fiscal year. At the beginning of the subsequent fiscal year, all dividends and distributions are closed by an account adjustment to Retained Earnings/(Deficit), account 4200. Withdrawals by members of an unincorporated entity will be booked to this account, also. Modify the account title to reflect the entity type: Owner Draws, Partner Draws, or Member Draws."
Equity,Equity,Equity,3105,Treasury Stock  (S-Corp),,"Treasury stock is the amount of previously issued stock subsequently redeemed and held by the corporation. This situation usually occurs when a shareholder retires from the practice and sells his shares back to the corporation rather than to another individual. When the corporation purchases its own shares from the departing shareholder, the shares are said to be in the treasury."
Equity,Equity,Equity,,Sole Proprietorship,,
Equity,Equity,Equity,3201,Owners Capital (Proprietorship),,
Equity,Equity,Equity,3202,Additional Paid in Capital (Proprietorship),,
Equity,Equity,Equity,3203,Owners Equity / (Deficit) (Proprietorship),,
Equity,Equity,Equity,3204,Distributions/Dividends/Draws (Proprietorship),"personal expenses, political contributions",
Equity,Equity,Equity,,Partnership,,
Equity,Equity,Equity,3301,Partners Capital,,
Equity,Equity,Equity,3302,Partners Capital -- Additional Partner,,
Equity,Equity,Equity,3303,Partners Equity / (Deficit),,
Equity,Equity,Equity,3304,Distributions/Dividends/Draws (Partnership),"personal expenses, political contributions",
Equity,Equity,Equity,,LLC,,
Equity,Equity,Equity,3401,Members Capital (LLC),,
Equity,Equity,Equity,3402,Members Equity / (Deficit) (LLC),,
Equity,Equity,Equity,3403,Distributions/Dividends/Draws (LLC),"personal expenses, political contributions",
Revenue,Revenue,,,REVENUE,,
Revenue,Professional Services Revenue,,,Professional Services Revenue,,
Revenue,Professional Services Revenue,Companion Animal GP Revenue,4000,Companion Animal Generalist Revenue,,
Revenue,Professional Services Revenue,Companion Animal GP Revenue,4001,Exam/Diagnostic Revenue,,
Revenue,Professional Services Revenue,Companion Animal GP Revenue,4002,Hospitalization & Treatment Revenue,,
Revenue,Professional Services Revenue,Companion Animal GP Revenue,4003,Vaccine Revenue,,
Revenue,Professional Services Revenue,Companion Animal GP Revenue,4010,Large Animal Revenue,,
Revenue,Professional Services Revenue,Large Animal GP Revenue,4011,Equine Revenue,,"This revenue center includes all revenues associated with diagnosing, hospitalizing and/or treating horses, including euthanasia (but, not mortuary services, which is account 4403)."
Revenue,Professional Services Revenue,Large Animal GP Revenue,4012,Farm Animal Revenue,,"This revenue center includes all revenues associated with diagnosing, hospitalizing and/or treating large/farm animals, excluding horses, including euthanasia (but, not mortuary services, which is account 4403)."
Revenue,Professional Services Revenue,Large Animal GP Revenue,4013,Zoological Revenue,,"This revenue center includes all revenues associated with diagnosing, hospitalizing and/or treating all zoological animals, including euthanasia (but, not mortuary services, which is account 4403)."
Revenue,Professional Services Revenue,Large Animal GP Revenue,4020,Emergency/Critical Care Revenue,ER,
Revenue,Professional Services Revenue,Companion Animal ER/CC Revenue,4021,Exam/Diagnostic Revenue,ER,"This revenue center includes outpatient exams, consultations and diagnostic services in the ER and any outpatient treatments. Euthanasia services are included in this account (do not include mortuary services; see account 4403)."
Revenue,Professional Services Revenue,Companion Animal ER/CC Revenue,4022,Hospitalization & Treatment Revenue,ER,"This revenue center includes hospitalization (day or night), and inpatient services. Includes professional care, critical care, nursing care, oxygen, heat support, stomach tubing and lavage, enemas, continuous blood pressure monitoring, heartworm treatment support, tattoo services, bandages, casts, urinary catheterization, therapeutic abdominocentesis or thoracentesis, inpatient non-surgical wound care. Includes theriogenology services such as semen collection and preparation, insemination, obstetrical assistance, and neonatal care. Also includes Stem Cell Therapy."
Revenue,Professional Services Revenue,Companion Animal ER/CC Revenue,4023,Emergency Surgery Revenue,ER,"This revenue center includes Companion Animal Vaccine service income. Record in this account the fees charged and collected from administration of vaccines to immunize patients against disease. In the event that no physical exam fee or office charge fee is collected (or bundled with the vaccination service fee), then the entire fee is reported here. If vaccinations are given as part of an annual wellness program, the charge associated with vaccination should be recorded here if easily segregated by the VPIMS bundling option."
Revenue,Professional Services Revenue,Companion Animal ER/CC Revenue,4100,Specialty Revenue,,"This revenue center includes only those specialty services provided by a board-certified veterinarian with specialty credentials from an ABVS-recognized veterinary specialty organization. It would not include patient care, fluids, imaging, laboratory, diagnostics or dispending unless directly performed by the ophthalmologist. Subaccounts for specific specialist revenue (i.e. ophthalmology, internal medicine, oncology, etc.) can be created using accounts 5081 to 5094."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4101,Surgery,,"This revenue center includes only those surgery services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary surgery specialty organization. Services could be provided either by a traveling contract surgeon or a boarded staff surgeon if an employee of the practice. It should also include income from fees resulting from surgery room usage, surgical instrument or pack usage, surgical disposables and supplies (sutures, surgical drapes, gloves, etc.), surgeon fees, surgical implants, and plates and screws. Include orthopedic surgery, soft tissue surgery, and cryotherapy fee income, as well as laparoscopy and endoscopy income. If ovariohysterectomy (OHE/Spay), castration (neuter), and declaw procedures are bundled with anesthesia/analgesia as a single fee, the total fee charged should be included here.It would not include patient care, fluids, imaging, laboratory, diagnostics or dispending unless directly performed by the surgeon."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4102,Internal Medicine,,This revenue center includes only those internal medicine services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary internal medicine specialty organization. It should also include income from fees resulting from related supplies and diagnostics associated with these internal medicine services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4103,Cardiology,,This revenue center includes only those internal medicine services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary internal medicine specialty organization with a focus on Cardiology. It should also include income from fees resulting from related supplies and diagnostics associated with these Cardiology services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4104,"Oncology, Medical",chemotherapy,This revenue center includes only those internal medicine services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary internal medicine specialty organization with a focus on Medical (Chemotherapy) Oncology. It should also include income from fees resulting from related supplies and diagnostics associated with these Medical Oncological services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4105,"Oncology, Radiation",ratiation therapy,This revenue center includes only those internal medicine services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary internal medicine specialty organization with a focus on Radiation Oncology. It should also include income from fees resulting from related supplies and diagnostics associated with these Radiation Oncological services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4106,Neurology,,This revenue center includes only those internal medicine services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary internal medicine specialty organization with a focus on Neurology. It should also include income from fees resulting from related supplies and diagnostics associated with these Neurology services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4107,Ophthalmology,,This revenue center includes only those ophthalmology services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary ophthalmology specialty organization. It should also include income from fees resulting from related supplies and diagnostics associated with these ophthalmological medicine services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4108,Dermatology,,This revenue center includes only those dermatology services provided by a board-certified veterinarian with specialty credentials from an ABVS/AVMA-recognized veterinary dermatology specialty organization. It should also include income from fees resulting from related supplies and diagnostics associated with these dermatological medicine services.  
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4109,Dentistry,,"This revenue center includes income from fees from dental prophylaxis. Also includes income from extractions, orthodontics, endodontics, and products applied to teeth or defects in the dental operatory. Includes oral surgery related to dental procedures such as gingival flaps etc."
Revenue,Professional Services Revenue,Companion Animal Specialty Revenue,4110,"Radiology, Diagnostic",,This revenue center includes all revenues associated with diagnostic radiology.
